ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
218,122,12,3,0,180,10,80,20,800,400,20,12,30
230,125,12,3,0,180,10,80,20,800,400,20,12,30
242,128,12,3,0,180,10,80,20,800,400,20,12,30
254,131,12,3,1,180,10,80,20,800,400,20,12,30
266,134,12,3,0,200,10,80,20,800,400,20,12,30
278,137,12,3,0,200,10,80,20,800,400,20,12,30
290,140,12,3,0,200,10,80,20,800,400,20,12,30
302,143,12,3,0,200,10,80,20,800,400,20,12,30
314,146,12,3,0,200,10,80,20,800,400,20,12,30
326,149,12,3,0,200,10,80,20,800,400,20,12,30
338,152,12,3,0,200,10,80,20,800,400,20,12,30
350,155,12,3,0,200,10,80,20,800,400,20,12,30
362,158,12,3,1,200,10,80,20,800,400,20,12,30
374,161,12,3,0,220,10,80,20,800,400,20,12,30
386,164,12,3,0,220,10,80,20,800,400,20,12,30
398,167,12,3,0,220,10,80,20,800,400,20,12,30
410,170,12,3,0,220,10,80,20,800,400,20,12,30
422,173,12,3,0,220,10,80,20,800,400,20,12,30
434,176,12,3,0,220,10,80,20,800,400,20,12,30
446,179,12,3,0,220,10,80,20,800,400,20,12,30
458,182,12,3,0,220,10,80,20,800,400,20,12,30
470,185,12,3,1,220,10,80,20,800,400,20,12,30
482,188,12,3,0,240,10,80,20,800,400,20,12,30
494,191,12,3,0,240,10,80,20,800,400,20,12,30
506,194,12,3,0,240,10,80,20,800,400,20,12,30
518,197,12,3,0,240,10,80,20,800,400,20,12,30
530,200,12,3,1,240,10,80,20,800,400,20,12,30
542,203,12,3,0,260,10,80,20,800,400,20,12,30
554,206,12,3,0,260,10,80,20,800,400,20,12,30
566,209,12,3,0,260,10,80,20,800,400,20,12,30
578,212,12,3,0,260,10,80,20,800,400,20,12,30
590,215,12,3,0,260,10,80,20,800,400,20,12,30
602,218,12,3,0,260,10,80,20,800,400,20,12,30
614,221,12,3,0,260,10,80,20,800,400,20,12,30
626,224,12,3,0,260,10,80,20,800,400,20,12,30
638,227,12,3,0,260,10,80,20,800,400,20,12,30
650,230,12,3,0,260,10,80,20,800,400,20,12,30
662,233,12,3,0,260,10,80,20,800,400,20,12,30
674,236,12,3,0,260,10,80,20,800,400,20,12,30
686,239,12,3,0,260,10,80,20,800,400,20,12,30
698,242,12,3,0,260,10,80,20,800,400,20,12,30
710,245,12,3,0,260,10,80,20,800,400,20,12,30
722,248,12,3,0,260,10,80,20,800,400,20,12,30
734,251,12,3,0,260,10,80,20,800,400,20,12,30
746,254,12,3,0,260,10,80,20,800,400,20,12,30
758,257,12,3,0,260,10,80,20,800,400,20,12,30
770,260,12,3,0,260,10,80,20,800,400,20,12,30
758,263,-12,3,0,260,10,80,20,800,400,20,12,30
746,266,-12,3,0,260,10,80,20,800,400,20,12,30
734,269,-12,3,0,260,10,80,20,800,400,20,12,30
722,272,-12,3,0,260,10,80,20,800,400,20,12,30
710,275,-12,3,0,260,10,80,20,800,400,20,12,30
698,278,-12,3,0,260,10,80,20,800,400,20,12,30
686,281,-12,3,1,260,10,80,20,800,400,20,12,30
674,284,-12,3,0,280,10,80,20,800,400,20,12,30
662,287,-12,3,0,280,10,80,20,800,400,20,12,30
650,290,-12,3,0,280,10,80,20,800,400,20,12,30
638,293,-12,3,0,280,10,80,20,800,400,20,12,30
626,296,-12,3,1,280,10,80,20,800,400,20,12,30
614,299,-12,3,0,300,10,80,20,800,400,20,12,30
602,302,-12,3,0,300,10,80,20,800,400,20,12,30
590,305,-12,3,0,300,10,80,20,800,400,20,12,30
578,308,-12,3,0,300,10,80,20,800,400,20,12,30
566,311,-12,3,0,300,10,80,20,800,400,20,12,30
554,314,-12,3,0,300,10,80,20,800,400,20,12,30
542,317,-12,3,0,300,10,80,20,800,400,20,12,30
530,320,-12,3,0,300,10,80,20,800,400,20,12,30
518,323,-12,3,1,300,10,80,20,800,400,20,12,30
506,326,-12,3,0,320,10,80,20,800,400,20,12,30
494,329,-12,3,0,320,10,80,20,800,400,20,12,30
482,332,-12,3,0,320,10,80,20,800,400,20,12,30
470,335,-12,3,0,320,10,80,20,800,400,20,12,30
458,338,-12,3,0,320,10,80,20,800,400,20,12,30
446,341,-12,3,1,320,10,80,20,800,400,20,12,30
434,344,-12,3,0,340,10,80,20,800,400,20,12,30
422,347,-12,3,0,340,10,80,20,800,400,20,12,30
410,350,-12,3,0,340,10,80,20,800,400,20,12,30
398,353,-12,3,0,340,10,80,20,800,400,20,12,30
386,356,-12,3,0,340,10,80,20,800,400,20,12,30
374,359,-12,3,0,340,10,80,20,800,400,20,12,30
362,362,-12,3,0,340,10,80,20,800,400,20,12,30
350,365,-12,3,0,340,10,80,20,800,400,20,12,30
338,368,-12,3,0,340,10,80,20,800,400,20,12,30
326,365,-12,-3,0,340,10,80,20,800,400,20,12,30
314,362,-12,-3,0,340,10,80,20,800,400,20,12,30
302,359,-12,-3,0,340,10,80,20,800,400,20,12,30
290,356,-12,-3,0,340,10,80,20,800,400,20,12,30
278,353,-12,-3,0,340,10,80,20,800,400,20,12,30
266,350,-12,-3,0,340,10,80,20,800,400,20,12,30
254,347,-12,-3,0,340,10,80,20,800,400,20,12,30
242,344,-12,-3,0,340,10,80,20,800,400,20,12,30
230,341,-12,-3,0,340,10,80,20,800,400,20,12,30
218,338,-12,-3,0,340,10,80,20,800,400,20,12,30
206,335,-12,-3,0,340,10,80,20,800,400,20,12,30
194,332,-12,-3,-1,340,10,80,20,800,400,20,12,30
182,329,-12,-3,0,320,10,80,20,800,400,20,12,30
170,326,-12,-3,0,320,10,80,20,800,400,20,12,30
158,323,-12,-3,0,320,10,80,20,800,400,20,12,30
146,320,-12,-3,0,320,10,80,20,800,400,20,12,30
134,317,-12,-3,-1,320,10,80,20,800,400,20,12,30
122,314,-12,-3,0,300,10,80,20,800,400,20,12,30
110,311,-12,-3,0,300,10,80,20,800,400,20,12,30
98,308,-12,-3,0,300,10,80,20,800,400,20,12,30
86,305,-12,-3,0,300,10,80,20,800,400,20,12,30
74,302,-12,-3,-1,300,10,80,20,800,400,20,12,30
62,299,-12,-3,0,280,10,80,20,800,400,20,12,30
50,296,-12,-3,0,280,10,80,20,800,400,20,12,30
38,293,-12,-3,0,280,10,80,20,800,400,20,12,30
50,290,12,-3,0,280,10,80,20,800,400,20,12,30
62,287,12,-3,-1,280,10,80,20,800,400,20,12,30
74,284,12,-3,0,260,10,80,20,800,400,20,12,30
86,281,12,-3,0,260,10,80,20,800,400,20,12,30
98,278,12,-3,0,260,10,80,20,800,400,20,12,30
110,275,12,-3,0,260,10,80,20,800,400,20,12,30
122,272,12,-3,0,260,10,80,20,800,400,20,12,30
134,269,12,-3,-1,260,10,80,20,800,400,20,12,30
146,266,12,-3,0,240,10,80,20,800,400,20,12,30
158,263,12,-3,0,240,10,80,20,800,400,20,12,30
170,260,12,-3,0,240,10,80,20,800,400,20,12,30
182,257,12,-3,0,240,10,80,20,800,400,20,12,30
194,254,12,-3,-1,240,10,80,20,800,400,20,12,30
206,251,12,-3,0,220,10,80,20,800,400,20,12,30
218,248,12,-3,0,220,10,80,20,800,400,20,12,30
230,245,12,-3,0,220,10,80,20,800,400,20,12,30
242,242,12,-3,0,220,10,80,20,800,400,20,12,30
254,239,12,-3,0,220,10,80,20,800,400,20,12,30
266,236,12,-3,-1,220,10,80,20,800,400,20,12,30
278,233,12,-3,0,200,10,80,20,800,400,20,12,30
290,230,12,-3,0,200,10,80,20,800,400,20,12,30
302,227,12,-3,0,200,10,80,20,800,400,20,12,30
314,224,12,-3,0,200,10,80,20,800,400,20,12,30
326,221,12,-3,0,200,10,80,20,800,400,20,12,30
338,218,12,-3,-1,200,10,80,20,800,400,20,12,30
350,215,12,-3,0,180,10,80,20,800,400,20,12,30
362,212,12,-3,0,180,10,80,20,800,400,20,12,30
374,209,12,-3,0,180,10,80,20,800,400,20,12,30
386,206,12,-3,0,180,10,80,20,800,400,20,12,30
398,203,12,-3,0,180,10,80,20,800,400,20,12,30
410,200,12,-3,0,180,10,80,20,800,400,20,12,30
422,197,12,-3,-1,180,10,80,20,800,400,20,12,30
434,194,12,-3,0,160,10,80,20,800,400,20,12,30
446,191,12,-3,0,160,10,80,20,800,400,20,12,30
458,188,12,-3,0,160,10,80,20,800,400,20,12,30
470,185,12,-3,0,160,10,80,20,800,400,20,12,30
482,182,12,-3,0,160,10,80,20,800,400,20,12,30
494,179,12,-3,-1,160,10,80,20,800,400,20,12,30
506,176,12,-3,0,140,10,80,20,800,400,20,12,30
518,173,12,-3,0,140,10,80,20,800,400,20,12,30
530,170,12,-3,0,140,10,80,20,800,400,20,12,30
542,167,12,-3,0,140,10,80,20,800,400,20,12,30
554,164,12,-3,-1,140,10,80,20,800,400,20,12,30
566,161,12,-3,0,120,10,80,20,800,400,20,12,30
578,158,12,-3,0,120,10,80,20,800,400,20,12,30
590,155,12,-3,0,120,10,80,20,800,400,20,12,30
602,152,12,-3,0,120,10,80,20,800,400,20,12,30
614,149,12,-3,0,120,10,80,20,800,400,20,12,30
626,146,12,-3,0,120,10,80,20,800,400,20,12,30
638,143,12,-3,0,120,10,80,20,800,400,20,12,30
650,140,12,-3,-1,120,10,80,20,800,400,20,12,30
662,137,12,-3,0,100,10,80,20,800,400,20,12,30
674,134,12,-3,0,100,10,80,20,800,400,20,12,30
686,131,12,-3,0,100,10,80,20,800,400,20,12,30
698,128,12,-3,0,100,10,80,20,800,400,20,12,30
710,125,12,-3,0,100,10,80,20,800,400,20,12,30
722,122,12,-3,0,100,10,80,20,800,400,20,12,30
734,119,12,-3,0,100,10,80,20,800,400,20,12,30
746,116,12,-3,0,100,10,80,20,800,400,20,12,30
758,113,12,-3,0,100,10,80,20,800,400,20,12,30
770,110,12,-3,0,100,10,80,20,800,400,20,12,30
758,107,-12,-3,0,100,10,80,20,800,400,20,12,30
746,104,-12,-3,0,100,10,80,20,800,400,20,12,30
734,101,-12,-3,0,100,10,80,20,800,400,20,12,30
722,98,-12,-3,0,100,10,80,20,800,400,20,12,30
710,95,-12,-3,0,100,10,80,20,800,400,20,12,30
698,92,-12,-3,0,100,10,80,20,800,400,20,12,30
686,89,-12,-3,0,100,10,80,20,800,400,20,12,30
674,86,-12,-3,0,100,10,80,20,800,400,20,12,30
662,83,-12,-3,0,100,10,80,20,800,400,20,12,30
650,80,-12,-3,0,100,10,80,20,800,400,20,12,30
638,77,-12,-3,0,100,10,80,20,800,400,20,12,30
626,74,-12,-3,0,100,10,80,20,800,400,20,12,30
614,71,-12,-3,0,100,10,80,20,800,400,20,12,30
602,68,-12,-3,0,100,10,80,20,800,400,20,12,30
590,65,-12,-3,0,100,10,80,20,800,400,20,12,30
578,62,-12,-3,0,100,10,80,20,800,400,20,12,30
566,59,-12,-3,0,100,10,80,20,800,400,20,12,30
554,56,-12,-3,0,100,10,80,20,800,400,20,12,30
542,53,-12,-3,0,100,10,80,20,800,400,20,12,30
530,50,-12,-3,0,100,10,80,20,800,400,20,12,30
518,47,-12,-3,0,100,10,80,20,800,400,20,12,30
506,44,-12,-3,0,100,10,80,20,800,400,20,12,30
494,41,-12,-3,0,100,10,80,20,800,400,20,12,30
482,38,-12,-3,0,100,10,80,20,800,400,20,12,30
470,35,-12,-3,1,100,10,80,20,800,400,20,12,30
458,32,-12,-3,0,120,10,80,20,800,400,20,12,30
446,35,-12,3,0,120,10,80,20,800,400,20,12,30
434,38,-12,3,0,120,10,80,20,800,400,20,12,30
422,41,-12,3,0,120,10,80,20,800,400,20,12,30
410,44,-12,3,0,120,10,80,20,800,400,20,12,30
398,47,-12,3,0,120,10,80,20,800,400,20,12,30
386,50,-12,3,0,120,10,80,20,800,400,20,12,30
374,53,-12,3,0,120,10,80,20,800,400,20,12,30
362,56,-12,3,0,120,10,80,20,800,400,20,12,30
350,59,-12,3,0,120,10,80,20,800,400,20,12,30
338,62,-12,3,1,120,10,80,20,800,400,20,12,30
326,65,-12,3,0,140,10,80,20,800,400,20,12,30
314,68,-12,3,0,140,10,80,20,800,400,20,12,30
302,71,-12,3,0,140,10,80,20,800,400,20,12,30
290,74,-12,3,0,140,10,80,20,800,400,20,12,30
278,77,-12,3,0,140,10,80,20,800,400,20,12,30
266,80,-12,3,1,140,10,80,20,800,400,20,12,30
254,83,-12,3,0,160,10,80,20,800,400,20,12,30
242,86,-12,3,0,160,10,80,20,800,400,20,12,30
230,89,-12,3,0,160,10,80,20,800,400,20,12,30
218,92,-12,3,0,160,10,80,20,800,400,20,12,30
206,95,-12,3,0,160,10,80,20,800,400,20,12,30
194,98,-12,3,0,160,10,80,20,800,400,20,12,30
182,101,-12,3,0,160,10,80,20,800,400,20,12,30
170,104,-12,3,1,160,10,80,20,800,400,20,12,30
158,107,-12,3,0,180,10,80,20,800,400,20,12,30
146,110,-12,3,0,180,10,80,20,800,400,20,12,30
134,113,-12,3,0,180,10,80,20,800,400,20,12,30
122,116,-12,3,0,180,10,80,20,800,400,20,12,30
110,119,-12,3,0,180,10,80,20,800,400,20,12,30
98,122,-12,3,1,180,10,80,20,800,400,20,12,30
86,125,-12,3,0,200,10,80,20,800,400,20,12,30
74,128,-12,3,0,200,10,80,20,800,400,20,12,30
62,131,-12,3,0,200,10,80,20,800,400,20,12,30
50,134,-12,3,0,200,10,80,20,800,400,20,12,30
38,137,-12,3,0,200,10,80,20,800,400,20,12,30
50,140,12,3,0,200,10,80,20,800,400,20,12,30
62,143,12,3,1,200,10,80,20,800,400,20,12,30
74,146,12,3,0,220,10,80,20,800,400,20,12,30
86,149,12,3,0,220,10,80,20,800,400,20,12,30
98,152,12,3,0,220,10,80,20,800,400,20,12,30
110,155,12,3,0,220,10,80,20,800,400,20,12,30
122,158,12,3,0,220,10,80,20,800,400,20,12,30
134,161,12,3,0,220,10,80,20,800,400,20,12,30
146,164,12,3,1,220,10,80,20,800,400,20,12,30
158,167,12,3,0,240,10,80,20,800,400,20,12,30
170,170,12,3,0,240,10,80,20,800,400,20,12,30
182,173,12,3,0,240,10,80,20,800,400,20,12,30
194,176,12,3,0,240,10,80,20,800,400,20,12,30
206,179,12,3,0,240,10,80,20,800,400,20,12,30
218,182,12,3,0,240,10,80,20,800,400,20,12,30
230,185,12,3,0,240,10,80,20,800,400,20,12,30
242,188,12,3,0,240,10,80,20,800,400,20,12,30
254,191,12,3,1,240,10,80,20,800,400,20,12,30
266,194,12,3,0,260,10,80,20,800,400,20,12,30
278,197,12,3,0,260,10,80,20,800,400,20,12,30
290,200,12,3,0,260,10,80,20,800,400,20,12,30
302,203,12,3,0,260,10,80,20,800,400,20,12,30
314,206,12,3,0,260,10,80,20,800,400,20,12,30
326,209,12,3,0,260,10,80,20,800,400,20,12,30
338,212,12,3,0,260,10,80,20,800,400,20,12,30
350,215,12,3,0,260,10,80,20,800,400,20,12,30
362,218,12,3,0,260,10,80,20,800,400,20,12,30
374,221,12,3,0,260,10,80,20,800,400,20,12,30
386,224,12,3,0,260,10,80,20,800,400,20,12,30
398,227,12,3,0,260,10,80,20,800,400,20,12,30
410,230,12,3,0,260,10,80,20,800,400,20,12,30
422,233,12,3,1,260,10,80,20,800,400,20,12,30
434,236,12,3,0,280,10,80,20,800,400,20,12,30
446,239,12,3,0,280,10,80,20,800,400,20,12,30
458,242,12,3,0,280,10,80,20,800,400,20,12,30
470,245,12,3,0,280,10,80,20,800,400,20,12,30
482,248,12,3,0,280,10,80,20,800,400,20,12,30
494,251,12,3,0,280,10,80,20,800,400,20,12,30
506,254,12,3,0,280,10,80,20,800,400,20,12,30
518,257,12,3,0,280,10,80,20,800,400,20,12,30
530,260,12,3,1,280,10,80,20,800,400,20,12,30
542,263,12,3,0,300,10,80,20,800,400,20,12,30
554,266,12,3,0,300,10,80,20,800,400,20,12,30
566,269,12,3,0,300,10,80,20,800,400,20,12,30
578,272,12,3,0,300,10,80,20,800,400,20,12,30
590,275,12,3,0,300,10,80,20,800,400,20,12,30
